[13.1.wittreich] Antiform
[15.2.minnick] AlMustafa
[16.3.hilton] Attneave
[17.4.rnessick] Artmagazine
[20.4.tolley] Anticycle
[22.2.dorrbecker] Antifoundationalist
[23.3.dorrbecker] Antifantasy
[25.1.dorrbecker] Artscribe
[25.2.simpson] Anticapitalism
[25.4.essick] AlmaTadema
[26.1.designs] Ahitherto
[26.2.schuchard] Afterwork
[30.1.viscomi] AnnualDirectory
[36.1.bentley] Allfree
[36.3.bentley] Archprelate
[37.2.spector] Asmodel
